104,7,0.38,2015-11-14 14:47,2015-11-14 15:39,9.32,68340
104,8,2.27,2015-11-14 15:53,2015-11-14 16:43,10.04,69220
104,9,0.84,2015-11-14 16:51,2015-11-14 17:28,11.00,63060
104,10,0.09,2015-11-14 17:29,2015-11-14 18:25,8.96,72740
104,11,3.18,2015-11-14 18:58,2015-11-14 19:16,6.25,35340
104,12,4.94,2015-11-14 19:47,2015-11-14 20:03,3.27,23900
104,13,3.93,2015-11-14 22:08,2015-11-14 22:23,3.52,24780
104,0,6.70,2015-11-14 22:45,2015-11-14 22:45,,
105,1,8.24,2015-11-15 09:02,2015-11-15 09:33,5.39,42820
105,2,8.42,2015-11-15 11:07,2015-11-15 12:09,10.21,76700
105,3,2.04,2015-11-15 12:26,2015-11-15 12:53,3.20,33140
105,4,2.24,2015-11-15 13:08,2015-11-15 13:56,9.50,66580
105,5,6.05,2015-11-15 15:03,2015-11-15 16:12,6.37,72740
105,6,1.54,2015-11-15 16:18,2015-11-15 16:44,2.95,32700
105,7,4.08,2015-11-15 17:04,2015-11-15 17:34,5.76,42380
105,8,3.30,2015-11-15 17:54,2015-11-15 18:21,4.72,37980
105,9,4.15,2015-11-15 19:01,2015-11-15 19:37,7.86,52060
105,10,5.01,2015-11-15 20:49,2015-11-15 21:28,7.59,52500
105,11,4.74,2015-11-15 21:51,2015-11-15 21:51,0.00,8500
105,12,0.00,2015-11-15 21:51,2015-11-15 21:51,0.00,8500
105,13,0.00,2015-11-15 21:51,2015-11-15 21:51,0.00,8500
105,14,0.00,2015-11-15 21:51,2015-11-15 21:51,0.00,8500
105,15,0.00,2015-11-15 21:51,2015-11-15 21:51,0.00,8500
105,16,2.88,2015-11-15 23:57,2015-11-15 23:57,0.00,8500
105,17,0.00,2015-11-15 23:58,2015-11-15 23:58,0.00,8500
105,18,0.00,2015-11-15 23:58,2015-11-15 23:58,0.00,8500
105,19,0.00,2015-11-15 23:58,2015-11-15 23:58,0.00,8500
105,20,0.00,2015-11-15 23:58,2015-11-15 23:58,0.00,8500
105,21,0.00,2015-11-15 23:58,2015-11-15 23:58,0.00,8500
105,22,0.00,2015-11-15 23:59,2015-11-15 23:59,0.00,8500
105,0,1.50,2015-11-15 23:53,2015-11-15 23:53,,
106,1,3.09,2015-11-13 10:05,2015-11-13 10:35,6.46,43260
106,2,0.85,2015-11-13 10:44,2015-11-13 11:13,9.45,55580
106,3,5.62,2015-11-13 12:44,2015-11-13 12:52,2.15,15100
106,4,2.16,2015-11-13 13:00,2015-11-13 14:03,9.08,74500
106,5,6.56,2015-11-13 15:17,2015-11-13 15:32,1.88,20820
106,6,0.92,2015-11-13 15:53,2015-11-13 16:15,2.32,26980
106,7,3.03,2015-11-13 16:40,2015-11-13 17:04,3.87,32260
106,8,0.00,2015-11-13 17:05,2015-11-13 17:39,4.16,41060
106,9,0.02,2015-11-13 17:44,2015-11-13 17:51,2.30,15980
106,10,1.80,2015-11-13 18:20,2015-11-13 18:42,3.31,28740
106,11,7.38,2015-11-13 19:25,2015-11-13 19:40,2.63,21700
106,12,2.30,2015-11-13 20:11,2015-11-13 21:02,10.84,72300
106,13,3.38,2015-11-13 21:27,2015-11-13 21:51,3.66,31820
106,14,1.14,2015-11-13 21:55,2015-11-13 22:30,20.89,100900
106,15,12.48,2015-11-13 23:05,2015-11-13 23:05,0.00,8500
106,16,0.00,2015-11-13 23:05,2015-11-13 23:05,0.00,8500
106,17,0.00,2015-11-13 23:05,2015-11-13 23:05,0.00,8500
106,18,0.00,2015-11-13 23:05,2015-11-13 23:05,0.00,8500
106,19,0.00,2015-11-13 23:05,2015-11-13 23:05,0.00,8500
106,20,3.55,2015-11-14 11:12,2015-11-14 11:29,3.89,26980
106,21,0.91,2015-11-14 11:39,2015-11-14 11:53,2.65,22140
106,22,0.16,2015-11-14 11:55,2015-11-14 12:00,1.21,11140
